nivel,p3_1,p4,edad,p32,p34_4,p34_4_1,factor
6,1,2,32,0,1,2,35248
7,2,0,35,0,1,1,17624
7,1,1,39,0,1,2,58571
8,2,0,59,3,2,0,8021
7,2,0,33,3,2,0,16043
7,2,0,25,3,2,0,8021
4,2,0,31,1,2,0,16043
7,2,0,30,3,2,0,23846
7,2,0,21,3,2,0,47693
7,1,2,32,0,2,0,23846
7,2,0,51,3,2,0,11924
6,1,1,67,0,2,0,19025
3,2,0,55,0,2,0,9512
2,1,2,66,0,2,0,9512
7,1,12,44,0,1,1,9512
7,2,0,26,3,1,2,7560
0,2,0,79,0,2,0,15119
4,2,0,40,1,1,1,7560
2,2,0,69,5,2,0,7560
4,1,1,33,0,1,2,15005
2,2,0,37,0,2,0,30012
3,2,0,55,0,2,0,22509
4,1,1,43,0,1,2,8305
7,1,1,33,0,1,2,16610
4,2,0,31,0,1,2,16610
7,2,0,37,0,1,2,8305
7,2,0,21,0,2,0,21294
0,0,0,83,0,0,0,21294
3,2,0,37,0,2,0,21294
2,2,0,75,1,2,0,14196
4,1,1,38,0,1,3,14317
4,2,0,62,1,1,1,7159
7,2,0,45,0,1,3,7159
4,2,0,63,5,1,4,5180
0,0,0,56,0,0,0,5180
4,1,3,30,0,1,1,10360
7,1,2,25,0,1,4,25900
4,2,0,48,0,1,4,8400
4,2,0,33,0,1,1,8400
4,2,0,48,3,1,2,8400
4,1,1,60,0,1,3,16509
8,2,0,41,0,1,2,16509
8,1,1,35,0,1,4,8255
3,1,3,66,0,1,4,9644
6,1,3,85,0,1,1,19287
7,1,7,60,0,1,4,28931
7,1,2,20,0,1,5,18267
4,2,0,68,0,2,0,3654
7,1,1,54,0,1,5,7306
7,2,0,29,3,2,0,15982
3,2,0,55,1,2,0,39954
7,2,0,32,0,2,0,7991
4,2,0,18,3,2,0,15982
7,1,1,65,0,1,1,44435
4,1,1,48,0,1,3,8887
4,2,0,25,0,2,0,21460
4,2,0,41,0,2,0,50073
3,2,0,66,2,1,2,50073
3,2,0,59,3,2,0,7153
4,2,0,49,0,1,2,12485
4,2,0,58,0,1,3,6242
7,1,3,26,0,1,5,12485
3,2,0,30,0,1,2,18727
2,2,0,25,0,1,2,12725
6,2,0,70,1,1,1,12725
2,2,0,58,3,1,3,12725
4,2,0,51,0,1,2,38173
4,2,0,55,0,2,0,41792
3,2,0,42,0,1,1,20896
4,2,0,43,3,2,0,62687
3,2,0,28,0,2,0,41792
3,2,0,71,1,2,0,33110
7,1,7,57,0,1,3,6622
4,2,0,25,0,1,1,39732
3,2,0,65,1,1,1,13244
4,2,0,42,0,2,0,10145
7,2,0,70,3,2,0,10145
4,2,0,34,1,1,1,10145
4,2,0,60,3,1,1,40582
3,2,0,43,0,1,2,7990
3,2,0,50,1,1,1,7990
3,2,0,33,1,1,1,15980
2,2,0,60,0,1,1,7990
3,2,0,52,0,1,1,21801
3,2,0,70,1,2,0,65403
3,2,0,50,3,2,0,10901
2,2,0,84,3,2,0,65403
6,2,0,60,0,1,2,20553
4,2,0,59,0,1,1,10276
7,2,0,56,1,1,1,10276
3,2,0,51,0,1,3,41105
4,2,0,30,0,2,0,17326
2,1,1,77,0,2,0,8663
7,1,4,61,0,1,5,8663
4,1,4,20,0,1,2,25989
2,2,0,70,1,2,0,8583
4,2,0,72,0,2,0,34331
7,2,0,53,0,2,0,34331
4,2,0,39,0,1,2,8583
3,2,0,46,0,2,0,16595
2,2,0,76,2,2,0,8297
0,2,0,73,3,2,0,16595
2,2,0,76,0,2,0,9336
7,2,0,35,0,2,0,9336
3,2,0,62,1,2,0,18672
4,2,0,59,0,2,0,28007
4,1,2,45,0,2,0,26484
8,2,0,57,0,1,2,8828
3,2,0,49,0,2,0,17656
3,2,0,42,0,1,1,43048
4,2,0,21,0,2,0,57398
4,2,0,60,0,2,0,71747
4,2,0,30,0,1,1,28699
7,1,3,19,0,1,3,38940
7,2,0,77,0,1,1,19470
7,2,0,51,0,2,0,29205
7,2,0,28,0,2,0,19470
2,2,0,47,0,2,0,27613
2,2,0,63,1,2,0,18409
4,2,0,28,0,2,0,18409
7,2,0,27,0,1,2,36818
2,2,0,74,5,2,0,8746
4,2,0,31,3,2,0,8746
4,2,0,45,0,1,1,26239
4,2,0,41,0,1,1,8746
2,2,0,92,5,2,0,34290
4,0,0,39,0,0,0,25717
3,2,0,53,0,2,0,18253
4,2,0,58,0,1,4,36507
3,2,0,34,3,2,0,18253
7,2,0,53,0,1,2,18253
7,1,2,22,0,1,2,24910
3,2,0,78,5,1,2,12455
7,1,1,41,0,2,0,24910
8,1,2,38,0,1,3,33979
7,2,0,43,0,1,2,16989
7,1,2,31,0,1,1,25484
6,2,0,65,0,2,0,8316
4,2,0,47,0,1,1,24949
3,2,0,25,3,2,0,8316
7,1,1,21,0,2,0,68190
3,2,0,45,1,2,0,19483
3,2,0,20,0,1,1,38966
2,2,0,67,0,2,0,29224
7,1,1,34,0,1,1,18650
2,2,0,67,1,2,0,18650
7,2,0,26,3,1,2,9325
4,2,0,53,0,1,2,9325
8,1,5,41,0,1,2,8580
7,2,0,51,0,1,1,25741
6,2,0,75,2,3,0,25741
7,2,0,72,5,1,1,8580
4,2,0,36,0,1,2,14387
7,1,3,22,0,1,2,28774
3,2,0,35,3,1,1,21580
7,2,0,32,0,1,3,25989
7,1,1,25,0,1,3,25989
3,1,2,59,0,2,0,34652
7,2,0,55,0,2,0,34780
7,1,4,38,0,1,2,17390
7,2,0,57,5,1,2,17390
2,0,0,65,0,0,0,31867
4,1,1,49,0,1,1,31867
7,1,4,22,0,2,0,31867
3,1,3,59,0,2,0,39834
3,2,0,56,3,2,0,16283
3,2,0,50,2,1,1,40707
2,2,0,43,0,2,0,16283
3,2,0,50,1,2,0,24424
3,1,2,33,0,3,0,6435
7,1,5,26,0,1,2,51487
3,2,0,48,1,1,1,25744
3,1,1,23,0,2,0,12872
4,1,1,26,0,1,2,7251
4,2,0,49,0,2,0,21752
4,2,0,26,2,2,0,14501
2,2,0,58,0,2,0,33888
2,2,0,75,5,2,0,8472
3,1,2,51,0,2,0,8472
3,2,0,35,0,1,1,23456
7,1,2,34,0,1,5,15637
2,1,3,43,0,1,2,23456
3,2,0,37,1,1,1,23456
3,2,0,54,1,2,0,27646
7,1,10,27,0,1,1,22116
2,1,1,65,0,2,0,16588
2,2,0,72,2,2,0,34263
3,2,0,44,3,2,0,25697
6,2,0,37,0,2,0,17131
2,2,0,69,5,2,0,25697
4,1,1,50,0,1,2,9257
7,1,2,54,0,1,2,27771
3,2,0,66,1,2,0,18514
4,2,0,34,3,1,3,18514
2,2,0,61,5,1,1,7181
3,2,0,66,0,1,3,21543
2,2,0,83,0,2,0,14362
8,1,6,48,0,1,3,21543
7,1,10,46,0,1,3,15793
3,2,0,54,1,2,0,31585
2,2,0,71,1,2,0,15793
3,1,1,53,0,1,1,15793
4,2,0,49,3,2,0,17135
2,2,0,65,1,2,0,25702
2,2,0,65,1,2,0,8567
2,2,0,65,5,2,0,25702
4,1,3,36,0,1,2,20626
7,1,7,20,0,1,4,30939
3,1,1,63,0,2,0,51565
7,1,3,62,0,1,3,41252
6,2,0,79,2,1,2,27119
7,1,6,59,0,1,1,36158
4,2,0,48,1,1,2,18079
3,2,0,48,0,1,1,45198
7,2,0,47,0,2,0,14809
7,2,0,30,0,1,4,14809
4,2,0,20,1,2,0,44428
2,2,0,77,1,1,1,8855
7,2,0,39,0,1,2,4428
4,2,0,59,0,2,0,13283
0,1,2,74,0,2,0,8855
3,2,0,62,1,2,0,15991
3,2,0,42,2,2,0,15991
7,1,2,45,0,1,1,10660
3,2,0,57,0,2,0,15991
7,2,0,54,0,2,0,24070
0,0,0,45,0,0,0,72211
3,2,0,53,3,2,0,27393
4,2,0,31,2,2,0,13697
7,2,0,34,3,2,0,13697
3,2,0,47,3,2,0,6848
2,2,0,29,2,2,0,8965
4,1,1,26,0,2,0,26895
3,1,1,48,0,2,0,26895
3,2,0,40,2,2,0,17930
7,1,6,27,0,1,2,6425
3,2,0,33,0,1,1,12850
7,1,1,28,0,2,0,25700
7,2,0,32,3,2,0,13810
2,2,0,68,2,2,0,13810
6,2,0,75,0,2,0,6905
4,2,0,56,3,1,1,14526
4,2,0,36,0,2,0,14526
2,2,0,65,5,1,1,43577
3,2,0,43,2,2,0,14526
4,2,0,24,0,2,0,15505
3,2,0,52,0,2,0,7752
2,2,0,47,3,2,0,23258
0,0,0,86,0,0,0,6430
4,1,3,20,0,2,0,19291
0,0,0,75,0,0,0,6430
7,2,0,36,0,2,0,12861
3,2,0,57,0,2,0,8432
3,1,2,21,0,2,0,8432
7,2,0,33,3,2,0,16862
3,2,0,39,3,2,0,16862
7,2,0,44,0,2,0,16031
4,2,0,58,5,2,0,16031
4,2,0,63,1,2,0,34770
3,2,0,36,0,2,0,34770
3,2,0,44,5,2,0,17384
4,2,0,40,0,2,0,8331
7,1,3,26,0,1,1,16663
6,1,1,49,0,1,1,16663
8,1,1,66,0,1,5,10729
8,1,40,51,0,1,5,10729
3,2,0,61,0,1,6,3576
5,1,1,74,0,1,5,14306
7,2,0,51,0,1,1,19190
7,1,3,54,0,1,5,19190
8,1,8,39,0,1,5,9595
2,2,0,67,0,2,0,7288
3,1,1,43,0,2,0,29155
6,2,0,42,0,1,1,14578
2,0,0,84,0,0,0,5458
0,0,0,80,0,0,0,10916
2,2,0,73,0,2,0,16374
0,2,0,53,1,3,0,16374
7,1,1,35,0,1,1,11982
3,2,0,85,3,1,6,11982
6,2,0,67,0,2,0,11982
8,1,3,32,0,1,1,5991
9,1,3,59,0,1,2,18378
7,1,1,67,0,1,1,18378
7,1,2,36,0,1,2,27567
7,1,2,61,0,1,5,9189
6,1,1,77,0,1,6,9241
7,2,0,37,0,1,1,18483
